,Country,City,AccentCity,Region,Population,Latitude,Longitude
93,ae,abu dhabi,Abu Dhabi,1.0,603687.0,24.466667,54.36666700000001
242,ae,dubai,Dubai,3.0,1137376.0,25.258172,55.304717
490,ae,sharjah,Sharjah,6.0,543942.0,25.35731,55.40330400000001
29709,af,herat,Herat,11.0,272880.0,34.348167,62.199673
30969,af,jalalabad,Jalalabad,18.0,200389.0,34.426468,70.45153
32756,af,kabul,Kabul,13.0,3043589.0,34.516667,69.18333299999999
63360,af,qandahar,Qandahar,23.0,391230.0,31.613323,65.710126
102871,al,tirana,Tirana,50.0,374801.0,41.3275,19.8188889
107461,am,yerevan,Yerevan,11.0,1093499.0,40.1811111,44.51361110000001
115986,ao,huambo,Huambo,8.0,226177.0,-12.776111,15.739167000000002
116936,ao,lobito,Lobito,1.0,207957.0,-12.319722,13.599722
117135,ao,luanda,Luanda,20.0,2776125.0,-8.836803999999997,13.233173999999998
127933,ar,bahia blanca,Bahia Blanca,1.0,282950.0,-38.719595,-62.272432
128679,ar,catamarca,Catamarca,2.0,213601.0,-28.469574,-65.785239
129336,ar,cordoba,Cordoba,5.0,1441007.0,-31.413496,-64.18105200000001
129422,ar,corrientes,Corrientes,6.0,390481.0,-27.480596,-58.834099
130450,ar,formosa,Formosa,9.0,248756.0,-26.177534,-58.178139
131309,ar,jujuy,Jujuy,10,277150.0,-24.194565,-65.297116
131741,ar,la plata,La Plata,01,684318.0,-34.921454,-57.954533
132571,ar,mar del plata,Mar del Plata,01,645771.0,-38.002278,-57.557539
132705,ar,mendoza,Mendoza,13,973047.0,-32.890845,-68.82717099999999
133003,ar,neuquen,Neuquen,15,359037.0,-38.951606,-68.059102
133317,ar,parana,Parana,08,299257.0,-31.731967,-60.523802
133624,ar,posadas,Posadas,14,313438.0,-27.367077,-55.896078
134159,ar,resistencia,Resistencia,03,406967.0,-27.46056,-58.983886
134317,ar,rosario,Rosario,21,1218497.0,-32.946818,-60.63931700000001
134402,ar,salta,Salta,17,548288.0,-24.785896,-65.411664
134640,ar,san juan,San Juan,18,469958.0,-31.5375,-68.536389
134802,ar,santa fe,Santa Fe,21,456044.0,-31.629484,-60.701036
134880,ar,santiago del estero,Santiago del Estero,22,407636.0,-27.795112,-64.261489
135445,ar,tucuman,Tucuman,24,828402.0,-26.824144,-65.2226
139363,at,graz,Graz,06,222326.0,47.066667,15.45
149599,at,vienna,Vienna,09,1569315.0,48.2,16.366667
150905,au,adelaide,Adelaide,05,1074168.0,-34.928661,138.598633
152164,au,brisbane,Brisbane,04,1843459.0,-27.47101,153.024292
152621,au,canberra,Canberra,01,324025.0,-35.27603,149.13435
154704,au,gold coast,Gold Coast,04,501175.0,-28.000290000000003,153.430878
155251,au,hobart,Hobart,06,204863.0,-42.883209,147.331665
156937,au,melbourne,Melbourne,07,3730212.0,-37.813938,144.963425
157956,au,newcastle,Newcastle,02,497961.0,-32.927792,151.78448500000005
158599,au,perth,Perth,08,1446715.0,-31.952240000000003,115.861397
159856,au,sydney,Sydney,02,4394585.0,-33.861481,151.205475
161339,au,wollongong,Wollongong,02,260918.0,-34.424,150.893448
163345,az,baku,Baku,09,1116513.0,40.39527800000001,49.882222
173521,ba,banja luka,Banja Luka,02,221100.0,44.7758333,17.1855556
185607,ba,sarajevo,Sarajevo,01,696726.0,43.85,18.3833333
192688,bd,barisal,Barisal,84,280437.0,22.7,90.3666667
198311,bd,dhaka,Dhaka,81,6493177.0,23.7230556,90.4086111
198891,bd,dinajpur,Dinajpur,83,206251.0,25.6333333,88.6333333
205021,bd,khulna,Khulna,82,1342429.0,22.8,89.55
208581,bd,narayanganj,Narayanganj,81,223773.0,23.6233333,90.5011111
208651,bd,narsingdi,Narsingdi,81,281110.0,23.9208333,90.7180556
211478,bd,rajshahi,Rajshahi,81,700206.0,24.3666667,88.6
211735,bd,rangpur,Rangpur,83,285586.0,25.75,89.25
215372,bd,tungi,Tungi,81,337620.0,23.89,90.4058333
216365,be,antwerp,Antwerp,01,459805.0,51.216667,4.416667
218097,be,brussels,Brussels,11,1019022.0,50.833333,4.3333330000000005
218440,be,charleroi,Charleroi,03,200132.0,50.416667,4.433333
220688,be,gent,Gent,08,231493.0,51.05,3.716667
233219,bf,bobo dioulasso,Bobo Dioulasso,51,370809.0,11.2,-4.3
238758,bf,ouagadougou,Ouagadougou,53,1031330.0,12.3702778,-1.5247222
256601,bg,plovdiv,Plovdiv,51,332088.0,42.15,24.75
259122,bg,sofia,Sofia,42,1062065.0,42.6833333,23.3166667
261386,bg,varna,Varna,61,307952.0,43.21666670000001,27.9166667
263354,bi,bujumbura,Bujumbura,2,330539.0,-3.3761111000000006,29.36
265311,bj,abomey-calavi,Abomey-Calavi,5,385823.0,6.45,2.35
266298,bj,cotonou,Cotonou,14,690584.0,6.35,2.4333333
266526,bj,djougou,Djougou,13,202834.0,9.705,1.6669444
272945,bo,cochabamba,Cochabamba,2,900440.0,-17.3833333,-66.15
279504,bo,la paz,La Paz,4,812819.0,-16.5,-68.15
281038,bo,oruro,Oruro,5,208687.0,-17.9833333,-67.15
283929,bo,sucre,Sucre,1,224846.0,-19.0430556,-65.25916670000001
287217,br,ananindeua,Ananindeua,16,433956.0,-1.366667,-48.383333
287221,br,anapolis,Anápolis,29,319592.0,-16.333333,-48.966667
287654,br,aracaju,Aracaju,28,490184.0,-10.916667,-37.066667
290085,br,barueri,Barueri,27,251999.0,-23.516667,-46.883333
290170,br,bauru,Bauru,27,335031.0,-22.316667,-49.066667
290296,br,belem,Belém,16,1407737.0,-1.45,-48.483333
290328,br,belford roxo,Belford Roxo,21,466101.0,-22.761995,-43.404654
290377,br,belo horizonte,Belo Horizonte,15,2373255.0,-19.916667,-43.93333300000001
290530,br,betim,Betim,15,384038.0,-19.966667,-44.216667
290615,br,blumenau,Blumenau,26,293955.0,-26.9222,-49.0615
290752,br,boa vista,Boa Vista,25,235159.0,2.816667,-60.666667
