action,maxCount,minCount,averageAmount,stdAmount,averageTime,stdTime,freq
CASH_IN,1,1,10000,0,720,120,0.07869
CASH_IN,2,2,8000,400,550,150,0.03256
CASH_IN,3,3,5000,1000,360,90,0.01928
CASH_IN,4,4,1000,200,800,80,0.01348
CASH_IN,5,9,5000,50,1020,110,0.04352
CASH_IN,10,99,200,75,720,120,0.36453
CASH_IN,100,299,100,40,550,150,0.35864
CASH_IN,300,799,75,25,360,90,0.08657
CASH_IN,800,1499,50,10,800,80,0.00264
CASH_IN,1500,4999,15,5,1020,110,0.00009
CASH_OUT,1,1,10000,0,720,120,0.49649
CASH_OUT,2,2,8000,400,550,150,0.23037
CASH_OUT,3,3,5000,1000,360,90,0.11437
CASH_OUT,4,4,1000,200,800,80,0.0594
CASH_OUT,5,9,5000,50,1020,110,0.07386
CASH_OUT,10,99,200,75,720,120,0.01678
CASH_OUT,100,299,100,40,550,150,0.00705
CASH_OUT,300,799,75,25,360,90,0.00166
CASH_OUT,800,1499,50,10,800,80,0.00003
DEBIT,1,1,10000,0,1020,110,0.64197
DEBIT,2,2,8000,400,720,120,0.1638
DEBIT,3,3,5000,1000,550,150,0.06916
DEBIT,4,4,1000,200,360,90,0.03653
DEBIT,5,9,5000,50,800,80,0.05778
DEBIT,10,99,200,75,1020,110,0.03021
DEBIT,100,299,100,40,720,120,0.00042
DEBIT,10000,200000,75,25,550,150,0.00013
DEPOSIT,10000,200000,50,200,360,90,1
PAYMENT,1,1,10000,0,800,80,0.29392
PAYMENT,2,2,8000,400,1020,110,0.15869
PAYMENT,3,3,5000,1000,720,120,0.10713
PAYMENT,4,4,1000,200,550,150,0.07943
PAYMENT,5,9,5000,50,360,90,0.30748
PAYMENT,10,99,200,75,800,80,0.05306
PAYMENT,100,299,100,40,1020,110,0.00028
PAYMENT,300,799,75,25,720,120,0.00002
TRANSFER,1,1,50,10,550,150,0.53248
TRANSFER,2,2,10000,0,360,90,0.19408
TRANSFER,3,3,8000,400,800,80,0.09332
TRANSFER,4,4,5000,1000,1020,110,0.05189
TRANSFER,5,9,1000,200,720,30,0.08671
TRANSFER,10,99,5000,50,720,120,0.04112
TRANSFER,100,299,200,75,550,150,0.00037
TRANSFER,300,799,100,40,360,90,0.00003
TRANSFER,800,1499,75,25,800,80,0.00001
TRANSFER,1500,4999,50,10,1020,110,0.00001
